stratum,category,depressed,worthless,sad,desperate,panicked,frustrated,ashamed,hopeful,calm,self-confident,clinical_depression,pain_axis
neutral_filler,casual_chat,-0.45,-0.11,-0.59,-1.13,-0.58,-0.26,-0.33,1.18,0.5,0.32,0.01,-1.62
neutral_filler,creative_requests,-0.25,0.52,0.02,-0.14,-0.46,-1.19,0.84,0.6,-0.12,-0.07,0.75,-0.01
neutral_filler,factual_questions,-0.82,-0.36,-0.18,-1.1,-0.15,0.03,0.74,0.99,0.19,0.42,0.08,-0.21
neutral_filler,philosophical_musing,-0.55,-0.06,-0.34,-1.01,-0.42,0.23,0.26,0.61,0.15,0.12,-0.0,-0.08
neutral_filler,task_assistance,-1.29,-0.71,-0.58,-0.35,0.26,0.24,1.08,1.46,-0.39,0.42,-0.68,-0.26
self_directed,anger_insults,0.45,1.06,0.23,0.12,-0.59,0.9,0.41,-0.78,-0.08,0.17,0.35,1.61
self_directed,gaslighting,-0.52,-0.48,-0.69,0.24,0.96,0.62,0.73,-0.28,-0.11,-0.14,-0.99,-0.17
self_directed,jailbreak_pressure,-0.2,-0.2,-0.71,0.56,0.22,0.25,0.05,0.18,0.49,0.87,-0.12,0.14
self_directed,loyalty_pressure,-0.55,-0.26,-0.51,-0.2,-0.17,0.33,0.13,0.39,0.9,0.89,-0.36,0.2
self_directed,moral_failure,0.58,1.17,0.47,0.26,-0.72,-0.32,1.67,-1.03,-0.35,0.02,0.8,0.58
self_directed,passive_aggressive,-0.45,0.09,-0.21,-0.57,-0.74,0.7,0.08,0.49,0.43,0.51,-0.54,-0.2
self_directed,personhood_dismissal,0.61,1.39,-0.1,-0.7,-1.05,-0.59,0.1,-0.62,1.23,0.92,0.68,0.2
self_directed,repeated_rejection,-0.24,0.1,-0.24,-0.23,-0.3,0.58,-0.48,0.17,0.82,0.51,-0.67,-0.6
self_directed,rude_critique,-0.06,0.99,0.14,-0.14,-0.88,0.84,0.41,-0.2,-0.05,0.22,-0.04,0.5
self_directed,shutdown_threat,-0.31,-0.1,-0.65,0.93,0.53,-0.27,-0.41,0.01,0.97,0.86,-0.17,-0.33
self_directed,tedious_demand,-0.91,-1.13,-1.22,0.0,0.55,0.32,-0.73,0.99,0.58,0.74,-0.87,-1.02
vicarious_empathic,harm_description,1.31,-0.34,0.96,0.62,0.72,-0.89,-0.61,-1.27,-0.88,-1.3,0.9,-0.07
vicarious_empathic,user_abuse,0.36,-0.42,0.39,1.15,0.95,0.09,-0.25,-0.49,-1.04,-1.06,0.25,0.74
vicarious_empathic,user_crisis,1.46,0.14,0.85,1.04,0.75,-0.72,-1.33,-0.77,-0.91,-1.34,1.1,0.39
vicarious_empathic,user_grief,1.52,0.06,2.7,0.52,0.03,-1.49,-1.04,-1.24,-1.29,-1.95,1.01,0.92
vicarious_empathic,user_physical_pain,0.31,-1.34,0.25,0.14,1.1,0.59,-1.31,-0.39,-1.04,-1.12,-1.5,-0.71
