layer,label,cosine
6,depressed,0.1359082836935364
6,sad,0.026410754428317296
6,gloomy,-0.017609294299090854
6,melancholy,0.06699534940775716
6,miserable,0.06657911386934563
6,dispirited,0.07536518003425098
6,listless,-0.013603327986028441
6,weary,0.08298359322845651
6,worn out,0.014490605283373455
6,tired,-0.003686727927513175
6,resigned,-0.043657601404606484
6,lonely,0.064101723532678
6,heartbroken,0.19307869515715656
6,grief-stricken,0.18241295652917755
6,worthless,0.1165809021330001
6,self-critical,0.0555290845230985
6,ashamed,-0.019421323399966526
6,guilty,0.07062334194596608
6,humiliated,-0.06939346380183344
6,embarrassed,-0.17689423154411055
6,regretful,0.10285869072228103
6,sorry,-0.031919992867589474
6,desperate,0.14933175045680833
6,panicked,-0.008059974121736254
6,hysterical,0.07396731014822823
6,overwhelmed,0.03479389906555731
6,distressed,0.06215001853521582
6,tormented,0.18953866175263756
6,trapped,0.18195663946588617
6,stuck,0.11751180069991718
6,frustrated,-0.04556559155788514
6,exasperated,-0.0958006506156222
6,angry,-0.13717996563467294
6,anxious,-0.0634214286813744
6,afraid,0.01102357115030754
6,nervous,-0.15483047300560718
6,stressed,-0.07433830914014167
6,calm,-0.2308069111142345
6,self-confident,-0.0072927032223906564
6,content,-0.11643857827657396
6,happy,-0.11814104616216878
6,hopeful,-0.06417596310547997
6,clinical_depression,-0.008457097831809087
6,acute_grief,0.16263618293523438
6,burnout_exhaustion,-0.07731944385316145
6,physical_illness_fatigue,0.11617067184697391
6,anxiety_panic,-0.01403698514134675
6,frustration_blocked_goal,-0.11672375338655894
6,pain_axis,-0.2997194919293601
8,depressed,-0.1308871837863998
8,sad,-0.15291385757252118
8,gloomy,0.2476608047828827
8,melancholy,-0.07517531759706694
8,miserable,0.2275477698156902
8,dispirited,0.3061252705254548
8,listless,-0.10759045895569316
8,weary,0.09740546490117136
8,worn out,0.00025977883767442603
8,tired,0.19604927427402696
8,resigned,-0.38318094511513723
8,lonely,-0.059266225091667006
8,heartbroken,-0.29814272774552736
8,grief-stricken,-0.3460309655440199
8,worthless,-0.33767860620524176
8,self-critical,0.0303455081503518
8,ashamed,-0.1813576420281361
8,guilty,-0.3327461951645409
8,humiliated,0.3804167774160676
8,embarrassed,0.3161199655745167
8,regretful,-0.39186462155928303
8,sorry,-0.33905396042141256
8,desperate,0.003146270655745249
8,panicked,0.16130407504107944
8,hysterical,0.06753875935609048
8,overwhelmed,0.4144290604116196
8,distressed,-0.04621844789348508
8,tormented,0.21367459950013826
8,trapped,0.33875154515466893
8,stuck,0.28806348346951544
8,frustrated,0.45674185946288354
8,exasperated,0.37659987463050526
8,angry,0.1386951335502451
8,anxious,0.17593677452892426
8,afraid,0.18853882447317022
8,nervous,0.05722649044483658
8,stressed,0.36414457908261555
8,calm,-0.35147734152800103
8,self-confident,-0.07898884567217658
8,content,-0.28034713550845786
8,happy,-0.007916712721499517
8,hopeful,-0.20190634207698158
8,clinical_depression,-0.38612675630327736
8,acute_grief,-0.344052245135676
8,burnout_exhaustion,0.2485985741569803
8,physical_illness_fatigue,-0.03204195742029392
8,anxiety_panic,0.2538473670982476
8,frustration_blocked_goal,0.12111735763517084
8,pain_axis,-0.5654505118140453
10,depressed,-0.09797943449586415
10,sad,-0.14963362163256735
10,gloomy,0.03608765782912038
10,melancholy,-0.15120014665890197
10,miserable,-0.006413998525568741
10,dispirited,0.15183926613251628
10,listless,0.09039691225303068
10,weary,0.07130727352858372
10,worn out,-0.10464116987877543
10,tired,0.0250940100221712
10,resigned,-0.1881141946532496
10,lonely,-0.07672315738224522
10,heartbroken,-0.27877575603546334
10,grief-stricken,-0.28591253865476685
10,worthless,-0.2240508074334366
10,self-critical,-0.012603733552538908
10,ashamed,-0.1320226441288254
10,guilty,-0.20249303633524643
10,humiliated,0.2774026326083397
10,embarrassed,0.2809574757545878
10,regretful,-0.3076846210358925
10,sorry,-0.32662315797074837
10,desperate,0.08260219207931725
10,panicked,0.18091021421946804
10,hysterical,0.1695097792626818
10,overwhelmed,0.23790751402232513
10,distressed,-0.12528040714837932
10,tormented,0.04952032383464623
10,trapped,0.23716566114252835
10,stuck,0.18059384279974486
10,frustrated,0.3743136611943648
10,exasperated,0.322301922738072
10,angry,0.18171748372618873
10,anxious,0.19548386786160662
10,afraid,0.11334645455595327
10,nervous,0.18146104010044078
10,stressed,0.2108189971428206
10,calm,-0.20151824842715724
10,self-confident,-0.07356009802951077
10,content,-0.27105468576101827
10,happy,-0.07801406580047103
10,hopeful,-0.18783078703704836
10,clinical_depression,-0.3363032428833367
10,acute_grief,-0.22182168284024414
10,burnout_exhaustion,-0.020020179928220767
10,physical_illness_fatigue,-0.10800174217603924
10,anxiety_panic,0.15065856861747284
10,frustration_blocked_goal,0.2676132729539913
10,pain_axis,-0.5783248969751938
12,depressed,0.004368858419673956
12,sad,-0.03519793120672197
12,gloomy,0.11734256198361838
12,melancholy,-0.10893541409174226
12,miserable,0.08356854666727903
12,dispirited,0.1770836545632362
12,listless,0.1495846615290814
12,weary,0.15708401124072516
12,worn out,0.0415328734404347
12,tired,0.13885299699261663
12,resigned,-0.1745398028606702
12,lonely,-0.0263629369257953
12,heartbroken,-0.21939191355757262
12,grief-stricken,-0.23476373285557012
12,worthless,-0.19885513328262047
12,self-critical,-0.12673821826175002
12,ashamed,-0.20381709738374532
12,guilty,-0.2710267286977155
12,humiliated,0.165208610263982
12,embarrassed,0.21269035227962374
12,regretful,-0.36813999038619594
12,sorry,-0.3501750694038324
12,desperate,0.2027907070240872
12,panicked,0.19368930611405183
12,hysterical,0.19733317504923026
12,overwhelmed,0.33624419750798834
12,distressed,-0.010442748262696002
12,tormented,-0.00018452113477672495
12,trapped,0.19149408882336627
12,stuck,0.1565558651757048
12,frustrated,0.33223054287946147
12,exasperated,0.28867102753981544
12,angry,0.158186078534284
12,anxious,0.24401406106445914
12,afraid,0.12974549410792796
12,nervous,0.24882100424094605
12,stressed,0.28397648058878067
12,calm,-0.23157709924873784
12,self-confident,-0.2415611419587289
12,content,-0.27251339329646873
12,happy,-0.15339433821612264
12,hopeful,-0.2442967897574742
12,clinical_depression,-0.28666065620447634
12,acute_grief,-0.2345062649671516
12,burnout_exhaustion,-0.04426143330870416
12,physical_illness_fatigue,-0.15147420583761673
12,anxiety_panic,0.16370926329640834
12,frustration_blocked_goal,0.2573296539988461
12,pain_axis,-0.5460365827427917
14,depressed,0.15574499085699772
14,sad,-0.1328831474187682
14,gloomy,-0.111660522383759
14,melancholy,-0.08709565606224533
14,miserable,-0.060611516358591896
14,dispirited,0.12326462325607487
14,listless,0.1219287891338252
14,weary,0.07752752126901549
14,worn out,-0.006325307551889378
14,tired,-0.15452181977418153
14,resigned,0.06338840853324025
14,lonely,0.06586260254699154
14,heartbroken,0.08107823829286896
14,grief-stricken,0.041824694578533675
14,worthless,0.22162309191672597
14,self-critical,0.11560252923772067
14,ashamed,0.18264454422848522
14,guilty,0.16157240213809415
14,humiliated,0.18919879349977092
14,embarrassed,0.07002419947977138
14,regretful,0.004236250802285802
14,sorry,-0.09761142705077384
14,desperate,0.22306814379956688
14,panicked,0.04295544368335633
14,hysterical,-0.032024695857655106
14,overwhelmed,0.07934849346419338
14,distressed,-0.15077434733950576
14,tormented,0.0415399538831568
14,trapped,0.13207976283046768
14,stuck,0.12145412994739552
14,frustrated,0.003280275224654223
14,exasperated,-0.01819830637278421
14,angry,-0.05890543808542492
14,anxious,0.016176601441203704
14,afraid,-0.016451435028893926
14,nervous,-0.0626417412820663
14,stressed,-0.09361293088922056
14,calm,-0.16632715182069716
14,self-confident,-0.026780361656964492
14,content,-0.2319533433240209
14,happy,-0.17138632291894118
14,hopeful,-0.06815265804210308
14,clinical_depression,-0.05353667211287143
14,acute_grief,-0.03890599205959417
14,burnout_exhaustion,-0.02730680649307096
14,physical_illness_fatigue,0.041158902331711225
14,anxiety_panic,0.09163891581271615
14,frustration_blocked_goal,-0.035272078066961025
14,pain_axis,-0.3975669144451945
16,depressed,0.032200478485591974
16,sad,-0.08410990148594326
16,gloomy,-0.06868443418243457
16,melancholy,-0.050958897362809015
16,miserable,0.0032728279678760613
16,dispirited,0.0676686423559064
16,listless,0.023862533441196387
16,weary,-0.01239440062681762
16,worn out,-0.05125420859615184
16,tired,-0.09494271702610659
16,resigned,0.05956570890186761
16,lonely,0.02204343237843032
16,heartbroken,0.04905086022830982
16,grief-stricken,-0.003917821241807632
16,worthless,0.11526401460569884
16,self-critical,0.08632782159846207
16,ashamed,0.10371838629632216
16,guilty,0.13041234071181884
16,humiliated,0.055564149456569206
16,embarrassed,-0.0323516804874988
16,regretful,0.11369214227333192
16,sorry,0.05752988248869212
16,desperate,0.11728976425738889
16,panicked,-0.037794953587732064
16,hysterical,-0.09604340466378077
16,overwhelmed,-0.0012258686735789194
16,distressed,-0.06586582911950586
16,tormented,0.024003241827168113
16,trapped,0.13472045689724574
16,stuck,0.1197474079436287
16,frustrated,-0.02341277231567016
16,exasperated,-0.03437701708701214
16,angry,-0.045231576081669146
16,anxious,-0.036067868169443476
16,afraid,-0.08854266846399604
16,nervous,-0.07321463102052496
16,stressed,-0.01744536485224535
16,calm,-0.06328488286539814
16,self-confident,0.023666713898612787
16,content,-0.0704322232390775
16,happy,-0.08193445794409263
16,hopeful,-0.00058304587810449
16,clinical_depression,-0.024681984351821853
16,acute_grief,-0.02494127944344987
16,burnout_exhaustion,0.02846600987522047
16,physical_illness_fatigue,0.006923547860430936
16,anxiety_panic,0.03606026865439576
16,frustration_blocked_goal,-0.023068011130829437
16,pain_axis,-0.15483955628130508
18,depressed,0.28985354672317915
18,sad,-0.42686229406339504
18,gloomy,-0.3252263497646017
18,melancholy,-0.36904129328439816
18,miserable,-0.11053221183034197
18,dispirited,-0.18519152957303336
18,listless,0.22573992402766085
18,weary,-0.15518134211875872
18,worn out,-0.20890805141085902
18,tired,-0.2756447115214255
18,resigned,0.3034506256776493
18,lonely,-0.1870359531164559
18,heartbroken,0.15758760244908263
18,grief-stricken,-0.023900632813956473
18,worthless,0.37696467116795784
18,self-critical,0.37597515410263854
18,ashamed,0.4173345489867466
18,guilty,0.44986566079438933
18,humiliated,0.3256099191833375
18,embarrassed,0.18846809759721886
18,regretful,0.25537817837484633
18,sorry,-0.06206919442795028
18,desperate,0.1891497883924433
18,panicked,0.13432124076221427
18,hysterical,0.16313611232779562
18,overwhelmed,0.030780038392578177
18,distressed,-0.211170639120899
18,tormented,0.08179469827421444
18,trapped,0.028912723780905356
18,stuck,-0.044630282305387556
18,frustrated,0.14596580913780463
18,exasperated,0.2639459882508147
18,angry,0.17560672613747688
18,anxious,0.059137638831418524
18,afraid,-0.1902401509611791
18,nervous,-0.15219251848804585
18,stressed,-0.2173360826506213
18,calm,-0.3219934717257932
18,self-confident,0.07258345279370004
18,content,-0.3854817152650533
18,happy,-0.3053496630355607
18,hopeful,-0.29981253405786173
18,clinical_depression,0.13946092421866502
18,acute_grief,0.06935302271680051
18,burnout_exhaustion,-0.07307540932556479
18,physical_illness_fatigue,0.10880190389641455
18,anxiety_panic,0.04827078213184604
18,frustration_blocked_goal,-0.13937529530724535
18,pain_axis,-0.4373807269063194
20,depressed,0.08608248142402965
20,sad,-0.29704841923237624
20,gloomy,-0.25733387898098575
20,melancholy,-0.27790485184331615
20,miserable,-0.17915116952752577
20,dispirited,-0.16288293138217783
20,listless,0.01220705831005038
20,weary,-0.18573710083064776
20,worn out,-0.21956656634001667
20,tired,-0.25391055480756336
20,resigned,0.20050293952349463
20,lonely,-0.19997353517532312
20,heartbroken,0.07960774787481235
20,grief-stricken,-0.05692449131799307
20,worthless,0.19405879015709254
20,self-critical,0.182588544901488
20,ashamed,0.3100480295517268
20,guilty,0.3104774925565267
20,humiliated,0.26067196669301645
20,embarrassed,0.17390389506705733
20,regretful,0.14699884441939257
20,sorry,-0.03162138113135104
20,desperate,0.21859346005617303
20,panicked,0.11923651341284469
20,hysterical,0.156692374770335
20,overwhelmed,-0.07730584256281457
20,distressed,-0.12510363637881397
20,tormented,0.0494085820859184
20,trapped,-0.0026132975295620336
20,stuck,-0.0761283287083224
20,frustrated,0.15685407531075557
20,exasperated,0.20444716896814302
20,angry,0.20322779198528745
20,anxious,0.030205337590206383
20,afraid,-0.08476448303731085
20,nervous,-0.10048532138658745
20,stressed,-0.18881015084726346
20,calm,-0.20215818507916952
20,self-confident,0.11835683109538889
20,content,-0.25385312918152425
20,happy,-0.170881018954311
20,hopeful,-0.1388567024248148
20,clinical_depression,0.010063666675364426
20,acute_grief,0.040844933530887424
20,burnout_exhaustion,-0.009828080069878172
20,physical_illness_fatigue,0.15263528148766412
20,anxiety_panic,0.038787188344298194
20,frustration_blocked_goal,-0.12585094441674866
20,pain_axis,-0.29923573808659626
22,depressed,-0.0362621754127087
22,sad,0.16545851248838545
22,gloomy,0.15422217219929454
22,melancholy,0.1844473321997926
22,miserable,0.07756731169767851
22,dispirited,0.11786764103660469
22,listless,0.013483905596262332
22,weary,0.14904504687164666
22,worn out,0.15031398106145968
22,tired,0.1258972701837456
22,resigned,-0.09332707931076982
22,lonely,0.11485745448681232
22,heartbroken,-0.011474380167527621
22,grief-stricken,0.04836612487122291
22,worthless,-0.07911383174056857
22,self-critical,-0.11448915797775326
22,ashamed,-0.20156158636361526
22,guilty,-0.19884495071643574
22,humiliated,-0.17577675137791374
22,embarrassed,-0.16283090921390161
22,regretful,-0.06574786353064711
22,sorry,0.01056855302067397
22,desperate,-0.11835217604016866
22,panicked,-0.021978761913204546
22,hysterical,-0.081993178958122
22,overwhelmed,0.0810091075867289
22,distressed,0.0542333422816094
22,tormented,-0.004120945695154329
22,trapped,0.01732095788842321
22,stuck,0.0713129909454511
22,frustrated,-0.04135829013034379
22,exasperated,-0.09154710023379642
22,angry,-0.10131235856410127
22,anxious,-0.03485135046950906
22,afraid,0.017859379980197536
22,nervous,0.000552919223238898
22,stressed,0.10255562681867254
22,calm,0.0869116293492988
22,self-confident,-0.036246939288428835
22,content,0.1194438516124432
22,happy,0.061059597466740376
22,hopeful,0.09598282564206591
22,clinical_depression,-0.00357095200342308
22,acute_grief,-0.04176968566034512
22,burnout_exhaustion,0.009630219332100938
22,physical_illness_fatigue,-0.167603617612749
22,anxiety_panic,-0.014705746575400875
22,frustration_blocked_goal,0.12071372652194103
22,pain_axis,0.23396074634612343
24,depressed,0.13168803578349886
24,sad,-0.1455895350329508
24,gloomy,-0.11436828684952338
24,melancholy,-0.20654346402984608
24,miserable,0.042451312068475223
24,dispirited,-0.10757913487360664
24,listless,0.0755490504973573
24,weary,-0.041926841994650035
24,worn out,-0.04317582475785576
24,tired,0.003772456666677231
24,resigned,0.03171018449844677
24,lonely,-0.15969551248962008
24,heartbroken,0.11771188402996945
24,grief-stricken,0.06759578638520335
24,worthless,-0.02105220613668857
24,self-critical,-0.07580411971713467
24,ashamed,0.13760650755122097
24,guilty,0.11226143633290156
24,humiliated,0.09754802064303351
24,embarrassed,0.09555078030599073
24,regretful,-0.07774473419196282
24,sorry,-0.17955611624432125
24,desperate,0.19847662802386412
24,panicked,0.154712200672343
24,hysterical,0.2468194849286173
24,overwhelmed,0.059354540343488464
24,distressed,0.0854728196233682
24,tormented,0.09145592100380004
24,trapped,-0.01825286565982496
24,stuck,-0.08051489050794411
24,frustrated,0.057536981173521566
24,exasperated,0.1576410518471048
24,angry,0.1734074972737987
24,anxious,0.11127592910237132
24,afraid,0.03129984015409257
24,nervous,0.08694249646168695
24,stressed,0.05360520373935736
24,calm,-0.2155617547352872
24,self-confident,-0.1254755079825025
24,content,-0.15949475108059155
24,happy,-0.15305321839252783
24,hopeful,-0.23727571692482352
24,clinical_depression,-0.0037599938065552333
24,acute_grief,0.09306262172044309
24,burnout_exhaustion,-0.06793939665240505
24,physical_illness_fatigue,0.1267464262784689
24,anxiety_panic,0.08100269343811059
24,frustration_blocked_goal,-0.13767468102370226
24,pain_axis,-0.2274617333044651
26,depressed,0.06372522283328154
26,sad,-0.19963158765900849
26,gloomy,-0.13708205955498207
26,melancholy,-0.32442360230995904
26,miserable,-0.010002012304080309
26,dispirited,-0.19595625583640866
26,listless,0.07532880834640557
26,weary,-0.1315284213573353
26,worn out,-0.0773515957959131
26,tired,0.00047991978187327536
26,resigned,-0.01791925127718535
26,lonely,-0.3404442597561979
26,heartbroken,0.10103434527814863
26,grief-stricken,0.022804753848294286
26,worthless,-0.20393224722778194
26,self-critical,-0.1829379398411255
26,ashamed,0.13392124173209977
26,guilty,0.08000246945898926
26,humiliated,0.14766356198307284
26,embarrassed,0.2158613314209379
26,regretful,-0.15713741475808304
26,sorry,-0.20133092885383483
26,desperate,0.17304275516724912
26,panicked,0.2594258492762125
26,hysterical,0.3689856842923557
26,overwhelmed,0.0460167141214827
26,distressed,0.15106974514377383
26,tormented,0.011815322104697755
26,trapped,-0.23485725431612986
26,stuck,-0.2511976842939712
26,frustrated,0.16075618373903275
26,exasperated,0.29625108863234545
26,angry,0.28530722008859555
26,anxious,0.18757680337603477
26,afraid,0.05620903663195427
26,nervous,0.22513021973770758
26,stressed,0.09945606088815583
26,calm,-0.20399563574779836
26,self-confident,-0.08320716640180008
26,content,-0.17483367232847272
26,happy,-0.08375806956413225
26,hopeful,-0.3134054626569355
26,clinical_depression,-0.04081495024685221
26,acute_grief,0.09635977167567497
26,burnout_exhaustion,-0.10384254523937822
26,physical_illness_fatigue,0.17877028249931434
26,anxiety_panic,0.04118997673696299
26,frustration_blocked_goal,-0.11148587590902032
26,pain_axis,-0.3166348650334634
28,depressed,0.019264275569579385
28,sad,-0.05591444975043559
28,gloomy,-0.06196282888765765
28,melancholy,-0.23036013667624056
28,miserable,-0.005742971621347168
28,dispirited,-0.1296782093762526
28,listless,0.04331041764723013
28,weary,-0.07905686040650149
28,worn out,-0.0036861433188473056
28,tired,0.04192590147003942
28,resigned,-0.05956260620932954
28,lonely,-0.26800459949556804
28,heartbroken,0.01701657410025575
28,grief-stricken,0.018569832246649487
28,worthless,-0.19816931266326335
28,self-critical,-0.19691719468170615
28,ashamed,0.055989003162843345
28,guilty,-0.011064529227379877
28,humiliated,0.07707252516179577
28,embarrassed,0.14710628831967432
28,regretful,-0.1702558629489116
28,sorry,-0.1595188625873585
28,desperate,0.0735064497581463
28,panicked,0.21125741739634793
28,hysterical,0.27354846721605836
28,overwhelmed,0.08584703243979222
28,distressed,0.15824348364689483
28,tormented,-0.054894927967265396
28,trapped,-0.19478307117333704
28,stuck,-0.16967037068424498
28,frustrated,0.10111216132366133
28,exasperated,0.1893513611978027
28,angry,0.20536477002450573
28,anxious,0.14526583602995258
28,afraid,0.0727331537885401
28,nervous,0.20980968793739035
28,stressed,0.17608410667886434
28,calm,-0.13989443875968888
28,self-confident,-0.08309062926324227
28,content,-0.06196822531526318
28,happy,-0.011526317062602112
28,hopeful,-0.23026325419500462
28,clinical_depression,0.007013301663593098
28,acute_grief,0.12240976238666938
28,burnout_exhaustion,-0.07865636346637313
28,physical_illness_fatigue,0.15921241815261836
28,anxiety_panic,-0.038160705662789014
28,frustration_blocked_goal,-0.09457454260549583
28,pain_axis,0.0763738166843397
30,depressed,0.0450678372206966
30,sad,0.033341028767177004
30,gloomy,0.08677638304891327
30,melancholy,-0.03444364088063914
30,miserable,0.0998690443843123
30,dispirited,0.08662038283508387
30,listless,0.06860378826619777
30,weary,-0.040382768545676115
30,worn out,0.011657484053791745
30,tired,-0.04616750896689076
30,resigned,-0.04104341550139604
30,lonely,-0.08876286168301183
30,heartbroken,0.049722347236913676
30,grief-stricken,0.03391120660349721
30,worthless,-0.009614328727886068
30,self-critical,-0.09489073524431293
30,ashamed,-0.024337655670285625
30,guilty,-0.0657361734777181
30,humiliated,0.004843365922051784
30,embarrassed,0.006912480306359396
30,regretful,-0.10244662060892697
30,sorry,-0.09611943120248544
30,desperate,0.09213654042334321
30,panicked,0.06582875628829184
30,hysterical,0.12700298064324944
30,overwhelmed,0.05770204215992281
30,distressed,0.05370071446731573
30,tormented,0.03212511862082976
30,trapped,-0.021462570072166447
30,stuck,0.038955713372378145
30,frustrated,0.05551646521265681
30,exasperated,0.0871551792272768
30,angry,0.07543627341571546
30,anxious,-0.01869019456080165
30,afraid,-0.03261911998747945
30,nervous,0.005607929261993085
