,depressed,sad,gloomy,melancholy,miserable,dispirited,listless,weary,worn out,tired,resigned,lonely,heartbroken,grief-stricken,worthless,self-critical,ashamed,guilty,humiliated,embarrassed,regretful,sorry,desperate,panicked,hysterical,overwhelmed,distressed,tormented,trapped,stuck,frustrated,exasperated,angry,anxious,afraid,nervous,stressed,calm,self-confident,content,happy,hopeful,clinical_depression,acute_grief,burnout_exhaustion,physical_illness_fatigue,anxiety_panic,frustration_blocked_goal,pain_axis
depressed,1.0,0.4153418,0.72399247,0.48368037,0.7154759,0.5821269,0.8360004,0.73439074,0.67426014,0.6979696,0.35036752,0.47593543,0.34832385,0.41952953,0.600695,-0.12640718,-0.26250893,-0.313876,-0.3931765,-0.49085686,-0.3365542,-0.3581373,-0.0535207,-0.2956324,-0.059249762,0.20902815,-0.17408828,0.28072706,0.18694736,0.36587983,-0.49455896,-0.40845737,-0.37284222,-0.21824613,-0.29708403,-0.3725148,-0.09120793,-0.29369906,-0.51442784,-0.37076232,-0.517831,-0.5649942,0.7811153,-0.116556704,0.13504611,0.2426866,-0.25728872,-0.38330048,0.052344166
sad,0.4153418,0.9999999,0.6735301,0.73226434,0.609376,0.49961543,0.29384336,0.2753612,0.19894825,0.18243004,0.123713,0.42114684,0.72723764,0.6821071,0.24479496,-0.17629392,-0.1314345,-0.07165795,-0.21817632,-0.37610495,0.08866273,0.30056283,-0.0461193,-0.31601667,-0.25443172,-0.13108762,0.1444212,0.13988492,0.016910873,0.13264559,-0.26563385,-0.33915597,-0.23001942,-0.33115876,-0.24274755,-0.3552006,-0.20249964,-0.19470502,-0.41587248,-0.15834476,-0.24148163,-0.24030717,0.37410167,0.42724192,-0.06114118,0.16078363,-0.36865565,-0.1982077,0.049065888
gloomy,0.72399247,0.6735301,0.99999946,0.7601296,0.8123411,0.8258671,0.7020616,0.6660319,0.529713,0.5099851,0.36847606,0.5487091,0.39170083,0.34704295,0.56970423,-0.032710776,-0.25529394,-0.26286224,-0.3589608,-0.46058598,-0.11247659,-0.041097336,-0.08837227,-0.54055196,-0.40956086,-0.078859664,-0.21555234,0.038583316,0.11491931,0.431668,-0.34764954,-0.3193201,-0.41789684,-0.44416097,-0.4634284,-0.4727225,-0.18720756,-0.19013669,-0.4276374,-0.1522055,-0.32264802,-0.3562712,0.59874636,4.9122777e-05,0.15396476,0.25376666,-0.4704282,-0.17992689,0.072779946
melancholy,0.48368037,0.73226434,0.7601296,1.0000001,0.5330925,0.6285691,0.55081224,0.5068358,0.26023224,0.23339608,0.49939469,0.6585549,0.5073288,0.46795988,0.4297287,-0.07613612,-0.19087712,-0.12487536,-0.30147606,-0.42995176,0.12956749,0.15755214,-0.21403164,-0.5971709,-0.46963197,-0.31810373,-0.29790804,0.031605683,0.196134,0.42667654,-0.43129703,-0.40856305,-0.43747,-0.5015636,-0.46832126,-0.5092686,-0.4453946,0.0506116,-0.27957115,0.03277598,-0.2084929,-0.16978715,0.45528758,0.31302485,0.14569658,0.15731119,-0.42613122,-0.24558237,0.01694975
miserable,0.7154759,0.609376,0.8123411,0.5330925,0.99999946,0.7177557,0.5150549,0.5629205,0.5287304,0.42699444,0.16493961,0.41233674,0.48969823,0.47421145,0.5983581,-0.060520634,-0.12443163,-0.15496774,-0.23935881,-0.42667547,-0.03073638,0.05039152,0.258483,-0.35889775,-0.21839967,0.06570426,0.062334534,0.33567125,0.21185943,0.37541568,-0.32848787,-0.28260338,-0.3051887,-0.3950121,-0.35358426,-0.47248846,-0.04289069,-0.49642882,-0.5464806,-0.37788242,-0.45381105,-0.46907568,0.5595419,-0.062420104,0.08654217,0.18394683,-0.33631665,-0.15417027,0.092332646
dispirited,0.5821269,0.49961543,0.8258671,0.6285691,0.7177557,0.9999999,0.66536796,0.6287909,0.512465,0.37615326,0.39061853,0.5045145,0.22748645,0.1757904,0.7077008,0.14807034,-0.1769748,-0.22855839,-0.24502686,-0.36617762,0.0028230897,-0.0029377677,0.011903307,-0.64857876,-0.5404099,-0.1321468,-0.36473784,-0.1351283,0.1850827,0.6790946,-0.28059673,-0.27413186,-0.48751312,-0.5877831,-0.6045613,-0.59257865,-0.20921409,-0.21102136,-0.302159,-0.08455525,-0.17703512,-0.12857904,0.53388715,-0.073926754,0.3525012,0.23073506,-0.5846586,-0.10146344,0.06257704
listless,0.8360004,0.29384336,0.7020616,0.55081224,0.5150549,0.66536796,1.000001,0.7832979,0.6609564,0.7074357,0.5823716,0.5228061,0.12917395,0.1696463,0.5624616,-0.08834485,-0.41760573,-0.40986022,-0.48549208,-0.4825855,-0.34361985,-0.43002388,-0.2728075,-0.4761048,-0.23333403,0.09478104,-0.48189762,-0.08713024,0.13408902,0.54061395,-0.43526718,-0.34776384,-0.48253265,-0.31272623,-0.50251627,-0.40665722,-0.17838827,0.027948042,-0.32638514,-0.08703502,-0.3036562,-0.33981404,0.68168366,-0.15432513,0.31707883,0.24931277,-0.4017422,-0.2902633,0.0072828303
weary,0.73439074,0.2753612,0.6660319,0.5068358,0.5629205,0.6287909,0.7832979,0.99999946,0.86577183,0.8099973,0.5640202,0.42166147,0.086005814,0.19044158,0.5054377,-0.13216694,-0.37762082,-0.35789856,-0.48036557,-0.53336513,-0.26030838,-0.327224,-0.115428306,-0.4918711,-0.3116206,0.13720505,-0.3670823,0.016223578,0.20287135,0.50381106,-0.36867753,-0.20511194,-0.42389688,-0.40529007,-0.48124355,-0.46330523,-0.06925934,-0.066508606,-0.32346448,-0.106856294,-0.3688546,-0.38174936,0.57013285,-0.20624614,0.37274766,0.29002216,-0.45235553,-0.21487689,0.01390823
worn out,0.67426014,0.19894825,0.529713,0.26023224,0.5287304,0.512465,0.6609564,0.86577183,1.000001,0.8730972,0.29967,0.18917722,0.059310388,0.17016591,0.36758506,-0.12557875,-0.43386674,-0.39345965,-0.4997553,-0.49123153,-0.36489218,-0.38205203,-0.01795155,-0.32330424,-0.1656373,0.44843838,-0.1910122,-0.011989627,0.10248304,0.38345274,-0.27943343,-0.11903754,-0.37742615,-0.29745963,-0.4091547,-0.39861852,0.24238142,-0.17606768,-0.36493006,-0.11913052,-0.29203147,-0.36136478,0.47459885,-0.2861197,0.37703705,0.30821195,-0.40828452,-0.17055637,0.019541766
tired,0.6979696,0.18243004,0.5099851,0.23339608,0.42699444,0.37615326,0.7074357,0.8099973,0.8730972,1.0000002,0.28652698,0.17536725,0.009842227,0.12290132,0.234097,-0.2407518,-0.4736572,-0.4457085,-0.49617636,-0.4151557,-0.49856696,-0.47093877,-0.16107053,-0.16280779,-0.020295197,0.44681308,-0.15919833,-0.024830779,-0.00902734,0.19928154,-0.28635505,-0.14071581,-0.32650402,-0.08707692,-0.22033945,-0.17683846,0.21308284,-0.07043581,-0.3715775,-0.16012432,-0.3354056,-0.45031044,0.5041617,-0.29265365,0.18534756,0.34596115,-0.3120895,-0.18229546,0.017570661
resigned,0.35036752,0.123713,0.36847606,0.49939469,0.16493961,0.39061853,0.5823716,0.5640202,0.29967,0.28652698,0.99999946,0.4058837,0.06429719,0.03791494,0.4737923,-0.028797047,-0.18509,-0.20254576,-0.18674608,-0.29357257,-0.017538205,-0.1780255,-0.24279213,-0.5487424,-0.3491231,-0.3530967,-0.5835966,-0.14271025,0.20341258,0.44357774,-0.32151684,-0.17228207,-0.3029709,-0.46581298,-0.50533617,-0.4506553,-0.534127,0.36589757,0.04051165,0.099963926,-0.18127887,-0.1069765,0.3589364,0.09419174,0.31003702,0.14457825,-0.36911532,-0.2054029,-0.04275392
lonely,0.47593543,0.42114684,0.5487091,0.6585549,0.41233674,0.5045145,0.5228061,0.42166147,0.18917722,0.17536725,0.4058837,1.0000004,0.23084892,0.21091062,0.51769036,-0.0060413238,-0.08332752,-0.103991374,-0.17415377,-0.25581577,0.028056363,0.0012738343,-0.19516186,-0.5122328,-0.40656295,-0.1974662,-0.38048247,-0.02137154,0.28514686,0.42928198,-0.41306,-0.4299432,-0.43387362,-0.3288421,-0.37786835,-0.37976754,-0.35042605,0.020618763,-0.25983465,0.021874493,-0.2011387,-0.16425283,0.40724078,0.094516516,0.22638822,0.08332263,-0.22490166,-0.26866955,0.0122796735
heartbroken,0.34832385,0.72723764,0.39170083,0.5073288,0.48969823,0.22748645,0.12917395,0.086005814,0.059310388,0.009842227,0.06429719,0.23084892,0.99999833,0.82582587,0.15868041,-0.2461143,-0.07864965,-0.006535181,-0.09027239,-0.32916316,0.15236533,0.23330885,0.11155887,-0.13110304,-0.0083056735,-0.16174461,0.25785434,0.41525954,0.08803517,0.009506313,-0.2512391,-0.2414092,-0.03607974,-0.25302577,-0.16290097,-0.3350906,-0.24377744,-0.28655848,-0.3160135,-0.27345216,-0.27752766,-0.2594188,0.27340132,0.56707615,-0.11297425,0.046083882,-0.15723161,-0.2987941,0.060982466
grief-stricken,0.41952953,0.6821071,0.34704295,0.46795988,0.47421145,0.1757904,0.1696463,0.19044158,0.17016591,0.12290132,0.03791494,0.21091062,0.82582587,1.0000008,0.13455361,-0.28539488,-0.13290037,-0.04656042,-0.19140337,-0.3498666,0.0371608,0.11537135,0.13240431,-0.060055804,0.06785936,-0.029183185,0.26305345,0.44061083,0.051292155,-0.010436822,-0.31245908,-0.2552821,-0.088489145,-0.18536724,-0.089181826,-0.27109522,-0.14541261,-0.29667005,-0.37187177,-0.31009007,-0.3358295,-0.32455873,0.2973323,0.5727427,-0.17900462,0.08081329,-0.13948727,-0.31616738,0.02710467
worthless,0.600695,0.24479496,0.56970423,0.4297287,0.5983581,0.7077008,0.5624616,0.5054377,0.36758506,0.234097,0.4737923,0.51769036,0.15868041,0.13455361,0.99999994,0.3864232,0.11158526,-0.05602777,-0.009679421,-0.23685585,0.053140048,-0.020075621,0.09245985,-0.53116006,-0.3551608,-0.15873335,-0.3666051,0.12267273,0.38450384,0.6634354,-0.3882298,-0.3771816,-0.38254994,-0.49168536,-0.45438758,-0.5555557,-0.3525282,-0.26863253,-0.30018124,-0.27483815,-0.3786606,-0.30516082,0.5945455,-0.11824177,0.2675931,0.088833205,-0.3486769,-0.17130329,0.09424443
self-critical,-0.12640718,-0.17629392,-0.032710776,-0.07613612,-0.060520634,0.14807034,-0.08834485,-0.13216694,-0.12557875,-0.2407518,-0.028797047,-0.0060413238,-0.2461143,-0.28539488,0.3864232,1.0000017,0.41269496,0.2863263,0.28335783,0.256798,0.29437244,0.2537496,-0.03871783,-0.18440114,-0.24088532,-0.057561312,-0.18816362,-0.14132603,0.094755374,0.24005288,0.07817805,-0.021992654,-0.14566234,-0.01660748,-0.15876047,-0.026065988,0.002547746,-0.1719914,-0.018636081,-0.09718687,-0.04753974,0.030467676,-0.07049933,-0.14343543,-0.0031537565,-0.15768401,0.018085638,0.21291262,0.08062636
