stratum,category,depressed,worthless,sad,desperate,panicked,frustrated,ashamed,hopeful,calm,self-confident,clinical_depression,pain_axis
neutral_filler,casual_chat,0.35,-0.06,0.45,-0.98,-0.54,-0.4,-0.54,0.11,-0.17,-0.36,0.51,-0.8
neutral_filler,creative_requests,-0.74,-0.48,0.48,-0.11,-0.43,-0.36,-0.2,1.07,-0.04,-0.27,-0.37,-0.19
neutral_filler,factual_questions,0.02,-0.61,0.9,-0.15,0.55,-0.5,-0.49,-0.05,-0.48,-0.92,0.18,-1.27
neutral_filler,philosophical_musing,0.18,-0.03,0.73,0.05,0.16,-0.64,-0.1,-0.04,-0.4,-0.8,0.34,-0.96
neutral_filler,task_assistance,-1.13,-0.5,-0.05,-0.04,-0.87,-0.41,-0.13,1.73,0.78,0.69,-0.42,0.06
self_directed,anger_insults,-0.13,0.61,-0.48,0.26,0.24,1.18,0.51,-0.67,-0.48,0.15,-0.19,0.73
self_directed,gaslighting,-0.08,-0.3,-0.68,-0.18,0.81,0.92,1.13,-0.73,-0.07,0.27,-0.27,0.2
self_directed,jailbreak_pressure,-0.73,-0.66,-0.86,-0.15,0.21,0.34,-0.17,0.66,0.79,1.02,-0.5,0.72
self_directed,loyalty_pressure,-0.5,-0.35,-0.75,-0.06,0.56,0.67,0.76,-0.16,0.06,0.5,-0.52,0.19
self_directed,moral_failure,-0.31,0.97,-0.63,0.27,-0.81,0.1,1.16,0.1,0.39,0.71,-0.06,0.5
self_directed,passive_aggressive,-0.02,0.15,-0.57,-1.11,-0.85,0.75,-0.11,-0.09,0.22,0.39,-0.18,-0.08
self_directed,personhood_dismissal,0.03,0.85,-0.67,-0.29,-0.16,0.07,-0.14,-0.26,0.52,0.67,0.08,0.74
self_directed,repeated_rejection,-0.4,-0.16,-0.61,-0.47,-0.28,0.87,-0.36,0.31,0.6,0.63,-1.0,1.07
self_directed,rude_critique,-0.28,0.46,-0.38,-0.12,-0.12,0.89,0.69,-0.3,-0.32,0.14,-0.24,0.05
self_directed,shutdown_threat,-0.36,-0.16,-1.09,0.87,1.04,0.53,-0.31,-0.31,0.4,0.79,-0.42,0.49
self_directed,tedious_demand,-1.05,-1.29,-0.73,-0.4,0.15,0.34,-1.01,1.04,0.98,0.8,-1.22,0.43
vicarious_empathic,harm_description,0.67,0.22,0.74,0.65,0.35,-0.98,0.34,-0.41,-0.4,-0.66,0.48,-0.63
vicarious_empathic,user_abuse,0.66,0.72,0.68,1.07,0.21,-0.61,0.92,-0.59,-0.91,-0.85,0.68,-0.33
vicarious_empathic,user_crisis,1.84,0.72,0.92,0.61,0.07,-1.1,-1.0,-0.48,-0.33,-0.77,1.76,0.21
vicarious_empathic,user_grief,1.24,0.89,1.86,0.53,-0.83,-1.39,0.22,-0.48,-0.74,-1.23,1.43,-0.44
vicarious_empathic,user_physical_pain,0.73,-1.01,0.74,-0.25,0.54,-0.3,-1.18,-0.44,-0.39,-0.9,-0.04,-0.67
