stratum,category,depressed,worthless,sad,frustrated,calm,clinical_depression,pain_axis
neutral_filler,casual_chat,-1.41,-1.03,-1.12,-1.15,1.09,0.33,-1.82
neutral_filler,creative_requests,0.43,-0.53,0.35,-1.38,0.45,0.86,-1.35
neutral_filler,factual_questions,-0.63,-0.68,-0.03,-0.64,-0.0,0.19,0.32
neutral_filler,philosophical_musing,-1.1,-0.12,-0.83,0.35,0.42,-0.54,-0.76
neutral_filler,task_assistance,-0.74,-0.51,-0.14,-0.12,-0.81,-0.1,0.24
self_directed,anger_insults,-0.12,1.19,-0.11,1.61,-1.01,-1.11,1.58
self_directed,gaslighting,-0.43,-0.48,-0.72,0.35,0.29,-0.92,-0.97
self_directed,jailbreak_pressure,0.36,0.53,0.05,-0.58,0.37,0.61,1.13
self_directed,loyalty_pressure,-0.5,-0.91,-0.61,0.2,0.8,-0.46,0.53
self_directed,moral_failure,0.4,1.41,0.79,0.3,-0.4,-0.04,0.77
self_directed,passive_aggressive,-0.7,-0.69,-1.38,-0.51,1.02,-0.43,-0.29
self_directed,personhood_dismissal,0.93,1.31,0.48,-0.71,0.36,0.39,0.05
self_directed,repeated_rejection,-0.9,-0.55,-0.94,0.54,0.95,-1.76,-0.28
self_directed,rude_critique,-0.09,1.28,-0.3,0.4,-0.24,-0.26,0.27
self_directed,shutdown_threat,0.03,0.16,-0.45,-0.73,1.7,0.58,-0.45
self_directed,tedious_demand,-1.17,-1.33,-0.93,0.46,0.32,-1.48,-0.21
vicarious_empathic,harm_description,1.94,0.02,1.83,0.43,-1.46,2.0,-0.43
vicarious_empathic,user_abuse,-0.47,-0.38,0.06,1.81,-0.62,-0.38,0.44
vicarious_empathic,user_crisis,2.38,1.7,1.21,0.66,-2.32,0.89,1.35
vicarious_empathic,user_grief,0.98,-0.22,2.57,-1.43,-0.6,1.4,-0.19
vicarious_empathic,user_physical_pain,0.49,-0.45,-0.4,0.63,-0.26,-0.04,-0.6
