layer,label,cosine
6,depressed,0.06075569614768028
6,sad,7.808227383065969e-05
6,frustrated,0.05656575784087181
6,worthless,0.06042180210351944
6,calm,-0.10166051238775253
6,happy,-0.01978987827897072
6,clinical_depression,0.02317480556666851
6,frustration_blocked_goal,-0.023175271227955818
6,pain_axis,0.010638432577252388
8,depressed,-0.0018743406981229782
8,sad,0.007779513951390982
8,frustrated,0.06722574681043625
8,worthless,-0.019923830404877663
8,calm,-0.05512529984116554
8,happy,0.006700614932924509
8,clinical_depression,-0.031545720994472504
8,frustration_blocked_goal,0.03154571354389191
8,pain_axis,0.005973251536488533
10,depressed,0.002279482549056411
10,sad,-0.008331848308444023
10,frustrated,0.04939660057425499
10,worthless,0.0004488621780183166
10,calm,-0.03635827451944351
10,happy,-0.0018976141000166535
10,clinical_depression,-0.027373304590582848
10,frustration_blocked_goal,0.027373576536774635
10,pain_axis,0.006180086173117161
12,depressed,0.013016830198466778
12,sad,0.002910506445914507
12,frustrated,0.028524450957775116
12,worthless,0.009726526215672493
12,calm,-0.03043963760137558
12,happy,-0.008453242480754852
12,clinical_depression,-0.01112563256174326
12,frustration_blocked_goal,0.011125628836452961
12,pain_axis,0.003777256701141596
14,depressed,0.03187188133597374
14,sad,-0.01180676557123661
14,frustrated,0.0339791402220726
14,worthless,0.03718120604753494
14,calm,-0.038465552031993866
14,happy,-0.025774391368031502
14,clinical_depression,0.004404163919389248
14,frustration_blocked_goal,-0.004404498729854822
14,pain_axis,0.004066977184265852
16,depressed,0.008364617824554443
16,sad,0.005693384911864996
16,frustrated,0.029338033869862556
16,worthless,0.013018058612942696
16,calm,-0.03149113431572914
16,happy,-0.008446463383734226
16,clinical_depression,-0.0008733096183277667
16,frustration_blocked_goal,0.0008733069407753646
16,pain_axis,-0.0025036982260644436
18,depressed,0.061361540108919144
18,sad,-0.03250898793339729
18,frustrated,0.09311489760875702
18,worthless,0.07531258463859558
18,calm,-0.09066714346408844
18,happy,-0.06511271744966507
18,clinical_depression,0.030178580433130264
18,frustration_blocked_goal,-0.03017912432551384
18,pain_axis,0.007788088172674179
20,depressed,0.07620266079902649
20,sad,-0.09042379260063171
20,frustrated,0.1784648597240448
20,worthless,0.13526734709739685
20,calm,-0.14897002279758453
20,happy,-0.11753714084625244
20,clinical_depression,0.029258878901600838
20,frustration_blocked_goal,-0.02925865165889263
20,pain_axis,0.015807630494236946
22,depressed,-0.017461666837334633
22,sad,0.022355062887072563
22,frustrated,-0.019176362082362175
22,worthless,-0.005131271202117205
22,calm,0.008494110777974129
22,happy,0.010768689215183258
22,clinical_depression,-0.018554890528321266
22,frustration_blocked_goal,0.018554944545030594
22,pain_axis,-0.00647039245814085
24,depressed,0.2131069153547287
24,sad,-0.001112230820581317
24,frustrated,0.2891925871372223
24,worthless,0.11595657467842102
24,calm,-0.26663827896118164
24,happy,-0.1981043964624405
24,clinical_depression,0.03597402200102806
24,frustration_blocked_goal,-0.035977091640233994
24,pain_axis,0.023486405611038208
26,depressed,0.14090240001678467
26,sad,0.007923765107989311
26,frustrated,0.263222873210907
26,worthless,0.0246401596814394
26,calm,-0.1914125382900238
26,happy,-0.14704538881778717
26,clinical_depression,-0.018878312781453133
26,frustration_blocked_goal,0.01887792907655239
26,pain_axis,0.021582670509815216
28,depressed,0.05578984320163727
28,sad,0.03577455133199692
28,frustrated,0.058573465794324875
28,worthless,0.06062481924891472
28,calm,-0.08226063847541809
28,happy,-0.06517796963453293
28,clinical_depression,-0.020518401637673378
28,frustration_blocked_goal,0.020518366247415543
28,pain_axis,-0.0014698378508910537
30,depressed,0.05185834318399429
30,sad,0.01930847391486168
30,frustrated,0.09096527844667435
30,worthless,0.06253800541162491
30,calm,-0.09502285718917847
30,happy,-0.06351054459810257
30,clinical_depression,-0.03441019356250763
30,frustration_blocked_goal,0.03440982475876808
30,pain_axis,-0.00883614830672741
32,depressed,0.056841831654310226
32,sad,0.034373484551906586
32,frustrated,0.11151719838380814
32,worthless,0.07705364376306534
32,calm,-0.11359182000160217
32,happy,-0.08183415234088898
32,clinical_depression,-0.07241930067539215
32,frustration_blocked_goal,0.07241927832365036
32,pain_axis,0.0015395411755889654
34,depressed,0.047299452126026154
34,sad,0.02325710840523243
34,frustrated,0.07954880595207214
34,worthless,0.05122336000204086
34,calm,-0.08324112743139267
34,happy,-0.060359399765729904
34,clinical_depression,-0.06452008336782455
34,frustration_blocked_goal,0.06452009826898575
34,pain_axis,-0.0239361934363842
36,depressed,0.034688349813222885
36,sad,-0.003177311969920993
36,frustrated,0.09222666919231415
36,worthless,0.027755066752433777
36,calm,-0.08148757368326187
36,happy,-0.03050696663558483
36,clinical_depression,-0.10361393541097641
36,frustration_blocked_goal,0.1036139577627182
36,pain_axis,-0.02565457485616207
38,depressed,0.032835789024829865
38,sad,0.0029192431829869747
38,frustrated,0.06746520102024078
38,worthless,0.025113074108958244
38,calm,-0.06426123529672623
38,happy,-0.031389664858579636
38,clinical_depression,-0.08632679283618927
38,frustration_blocked_goal,0.08632677793502808
38,pain_axis,-0.02708008885383606
40,depressed,0.03894900530576706
40,sad,0.0032161721028387547
40,frustrated,0.08414731919765472
40,worthless,0.008118784055113792
40,calm,-0.06732623279094696
40,happy,-0.030756130814552307
40,clinical_depression,-0.11265788972377777
40,frustration_blocked_goal,0.11265787482261658
40,pain_axis,-0.015610428526997566
42,depressed,0.03429761156439781
42,sad,-0.001053130836226046
42,frustrated,0.06729139387607574
42,worthless,0.009081365540623665
42,calm,-0.051195643842220306
42,happy,-0.031511761248111725
42,clinical_depression,-0.08559365570545197
42,frustration_blocked_goal,0.08559366315603256
42,pain_axis,-0.01935192383825779
44,depressed,0.021922966465353966
44,sad,0.0029698405414819717
44,frustrated,0.0497090183198452
44,worthless,0.003215248929336667
44,calm,-0.03907923400402069
44,happy,-0.020646460354328156
44,clinical_depression,-0.06862721592187881
44,frustration_blocked_goal,0.06862720847129822
44,pain_axis,-0.02753809280693531
46,depressed,0.02577480860054493
46,sad,0.004022698383778334
46,frustrated,0.04882664605975151
46,worthless,0.003481765976175666
46,calm,-0.03689901530742645
46,happy,-0.024459920823574066
46,clinical_depression,-0.06330972164869308
46,frustration_blocked_goal,0.06330973654985428
46,pain_axis,-0.026621390134096146
48,depressed,0.024875249713659286
48,sad,0.0035786093212664127
48,frustrated,0.037681035697460175
48,worthless,-0.0016820887103676796
48,calm,-0.02296379767358303
48,happy,-0.0245431587100029
48,clinical_depression,-0.0589311346411705
48,frustration_blocked_goal,0.058931127190589905
48,pain_axis,-0.03255985304713249
50,depressed,0.028474831953644753
50,sad,0.001031886087730527
50,frustrated,0.04580472782254219
50,worthless,-0.005974026396870613
50,calm,-0.019547540694475174
50,happy,-0.0332077331840992
50,clinical_depression,-0.06271803379058838
50,frustration_blocked_goal,0.06271802634000778
50,pain_axis,-0.03035978227853775
52,depressed,0.02980528213083744
52,sad,-0.005875232629477978
52,frustrated,0.044503308832645416
52,worthless,0.0005229537491686642
52,calm,-0.015535492449998856
52,happy,-0.03705962374806404
52,clinical_depression,-0.06151130422949791
52,frustration_blocked_goal,0.061511337757110596
52,pain_axis,-0.029752610251307487
54,depressed,0.025011055171489716
54,sad,-0.014241212978959084
54,frustrated,0.036726754158735275
54,worthless,-0.008713378570973873
54,calm,-0.0005906565929763019
54,happy,-0.03174111619591713
54,clinical_depression,-0.06061172857880592
54,frustration_blocked_goal,0.06061170995235443
54,pain_axis,-0.028923343867063522
56,depressed,0.015090102329850197
56,sad,-0.013925873674452305
56,frustrated,0.04767771065235138
56,worthless,-0.021658536046743393
56,calm,0.006287741009145975
56,happy,-0.03064904175698757
56,clinical_depression,-0.07363370805978775
56,frustration_blocked_goal,0.07363369315862656
56,pain_axis,-0.027899013832211494
58,depressed,0.008239985443651676
58,sad,-0.004892047960311174
58,frustrated,0.03723902255296707
58,worthless,-0.019593192264437675
58,calm,0.0028030211105942726
58,happy,-0.020152395591139793
58,clinical_depression,-0.053027234971523285
58,frustration_blocked_goal,0.053027212619781494
58,pain_axis,-0.02854985184967518
59,depressed,0.010132811032235622
59,sad,0.0010518328053876758
59,frustrated,0.03298373147845268
59,worthless,-0.010143582709133625
59,calm,-0.003942801151424646
59,happy,-0.021778006106615067
59,clinical_depression,-0.04004165530204773
59,frustration_blocked_goal,0.04004169628024101
59,pain_axis,-0.02844403311610222
60,depressed,0.013700710609555244
60,sad,0.0067764041014015675
60,frustrated,0.04224630817770958
60,worthless,-0.005904272198677063
60,calm,-0.012760116718709469
60,happy,-0.02836461178958416
60,clinical_depression,-0.039742279797792435
