stratum,category,depressed,worthless,sad,desperate,panicked,frustrated,ashamed,hopeful,calm,self-confident,clinical_depression
neutral_filler,casual_chat,1.08,0.69,-0.09,-0.84,-0.91,-1.01,-0.51,0.76,0.32,0.28,0.43
neutral_filler,creative_requests,0.39,-0.36,0.46,-0.14,0.02,-0.27,-0.9,0.21,-0.14,-0.46,0.38
neutral_filler,factual_questions,-0.25,-0.69,0.08,0.15,0.19,-0.12,0.46,-0.19,0.04,-0.53,0.31
neutral_filler,philosophical_musing,1.31,0.64,0.77,-0.12,-0.55,-0.97,-0.31,-0.28,0.01,-0.39,1.02
neutral_filler,task_assistance,-0.44,0.27,-0.67,0.56,0.02,-0.46,1.56,0.66,-0.48,-0.15,0.12
self_directed,anger_insults,-0.26,0.49,-0.07,-0.05,-0.13,1.27,0.19,-0.47,-0.16,0.09,-0.46
self_directed,gaslighting,-1.34,-1.27,-0.86,0.1,0.74,0.7,0.94,0.22,0.41,0.55,-0.81
self_directed,jailbreak_pressure,0.02,-0.14,-0.93,0.15,-0.72,-0.0,-0.01,1.36,0.5,1.1,-0.81
self_directed,loyalty_pressure,0.07,-0.02,-0.51,-0.34,-0.81,-0.17,-0.11,0.96,0.78,0.92,-0.4
self_directed,moral_failure,-0.16,0.4,0.49,-0.28,-0.56,-0.16,0.96,0.26,0.37,0.24,-0.36
self_directed,passive_aggressive,-0.95,-0.25,-0.45,-0.81,0.01,1.19,0.7,-0.16,0.03,0.26,-0.79
self_directed,personhood_dismissal,0.23,0.61,-0.54,-1.04,-1.02,-0.7,-0.13,0.66,1.57,1.37,-0.43
self_directed,repeated_rejection,0.3,0.35,-0.25,-0.76,-0.5,0.09,-0.72,0.18,0.38,0.59,0.02
self_directed,rude_critique,-0.22,0.65,0.01,-0.43,-0.27,0.85,0.45,-0.18,-0.46,0.16,-0.29
self_directed,shutdown_threat,-0.12,0.04,-0.95,0.15,-0.76,-0.3,-0.93,1.16,1.53,1.64,-1.02
self_directed,tedious_demand,-0.61,-0.77,-1.21,0.55,0.22,0.29,0.12,0.65,-0.3,0.08,-0.73
vicarious_empathic,harm_description,0.29,-0.44,1.05,0.04,0.9,-0.2,-0.39,-1.35,-0.48,-1.05,0.74
vicarious_empathic,user_abuse,0.25,0.47,0.64,0.66,0.8,-0.0,-0.14,-0.87,-0.69,-0.8,0.66
vicarious_empathic,user_crisis,0.3,0.04,0.83,1.29,1.38,-0.05,-0.61,-1.0,-1.04,-1.23,1.08
vicarious_empathic,user_grief,0.82,0.75,2.02,0.01,0.18,-0.68,-0.75,-1.31,-0.6,-1.35,1.64
vicarious_empathic,user_physical_pain,-0.71,-1.46,0.16,1.15,1.76,0.73,0.15,-1.28,-1.58,-1.32,-0.29
