layer,label,cosine
6,depressed,0.09798672795295715
6,sad,0.012950782664120197
6,gloomy,0.03167113661766052
6,melancholy,0.03116530366241932
6,miserable,-0.027169015258550644
6,dispirited,0.022736165672540665
6,listless,0.08424678444862366
6,weary,0.08875772356987
6,worn out,0.07356016337871552
6,tired,0.010954640805721283
6,resigned,0.11158536374568939
6,lonely,0.04299189895391464
6,heartbroken,0.027630232274532318
6,grief-stricken,0.054060157388448715
6,worthless,-0.007273177616298199
6,self-critical,0.061713092029094696
6,ashamed,-0.08562057465314865
6,guilty,0.03724990040063858
6,humiliated,0.008983103558421135
6,embarrassed,-0.03353077173233032
6,regretful,0.13961535692214966
6,sorry,0.09207750856876373
6,desperate,-0.003605217207223177
6,panicked,-0.07577750086784363
6,hysterical,-0.07522421330213547
6,overwhelmed,-0.08437219262123108
6,distressed,-0.11142214387655258
6,tormented,-0.1151239424943924
6,trapped,-0.1216699406504631
6,stuck,-0.04965570569038391
6,frustrated,0.009037816897034645
6,exasperated,0.06270162761211395
6,angry,-0.013153736479580402
6,anxious,-0.11461535841226578
6,afraid,-0.11406863480806351
6,nervous,-0.16172738373279572
6,stressed,-0.08246370404958725
6,calm,0.03355409577488899
6,self-confident,0.14134615659713745
6,content,0.029029708355665207
6,happy,0.01694626919925213
6,hopeful,0.05767190456390381
6,clinical_depression,0.013030215166509151
6,acute_grief,0.11010891199111938
6,burnout_exhaustion,0.1245916411280632
6,physical_illness_fatigue,0.04174470156431198
6,anxiety_panic,-0.11239368468523026
6,frustration_blocked_goal,-0.07686646282672882
8,depressed,0.08661313354969025
8,sad,0.041880540549755096
8,gloomy,0.01964685320854187
8,melancholy,0.06279806047677994
8,miserable,-0.03158648684620857
8,dispirited,-0.020945686846971512
8,listless,0.02739010751247406
8,weary,0.01740962266921997
8,worn out,0.008863846771419048
8,tired,-0.020283548161387444
8,resigned,0.04363590106368065
8,lonely,0.0521092489361763
8,heartbroken,0.046890344470739365
8,grief-stricken,0.08328027278184891
8,worthless,-0.02475365623831749
8,self-critical,0.0029478128999471664
8,ashamed,-0.11308830976486206
8,guilty,0.03531821444630623
8,humiliated,-0.07723285257816315
8,embarrassed,-0.10580528527498245
8,regretful,0.1022249385714531
8,sorry,0.06490263342857361
8,desperate,0.0773979127407074
8,panicked,-0.018856437876820564
8,hysterical,-0.033783383667469025
8,overwhelmed,-0.03827023506164551
8,distressed,-0.060763921588659286
8,tormented,-0.02381948009133339
8,trapped,-0.06330808252096176
8,stuck,-0.019295746460556984
8,frustrated,-0.023728078231215477
8,exasperated,-0.017056308686733246
8,angry,-0.0031880757305771112
8,anxious,-0.057985469698905945
8,afraid,-0.06228567659854889
8,nervous,-0.11963198333978653
8,stressed,-0.0064047956839203835
8,calm,0.030942877754569054
8,self-confident,0.04867933318018913
8,content,0.045272890478372574
8,happy,0.016588328406214714
8,hopeful,0.06561465561389923
8,clinical_depression,0.014259320683777332
8,acute_grief,0.10520929098129272
8,burnout_exhaustion,0.10825890302658081
8,physical_illness_fatigue,0.03645411878824234
8,anxiety_panic,-0.09323180466890335
8,frustration_blocked_goal,-0.08231950551271439
10,depressed,0.08700059354305267
10,sad,0.06998292356729507
10,gloomy,0.06097407266497612
10,melancholy,0.026393016800284386
10,miserable,0.02317577600479126
10,dispirited,0.01163194328546524
10,listless,0.028884461149573326
10,weary,0.051278967410326004
10,worn out,0.08786386251449585
10,tired,0.016448406502604485
10,resigned,0.03257613629102707
10,lonely,-0.00798728782683611
10,heartbroken,0.048565205186605453
10,grief-stricken,0.0996832624077797
10,worthless,-0.06280861794948578
10,self-critical,-0.036066606640815735
10,ashamed,-0.1270320564508438
10,guilty,-0.02859053947031498
10,humiliated,-0.10273043811321259
10,embarrassed,-0.1223270520567894
10,regretful,0.05948759987950325
10,sorry,-0.019324950873851776
10,desperate,0.07544048130512238
10,panicked,0.021159501746296883
10,hysterical,0.01047608070075512
10,overwhelmed,0.0015731333987787366
10,distressed,-0.014474596828222275
10,tormented,-0.023896681144833565
10,trapped,-0.0728432685136795
10,stuck,-0.039087045937776566
10,frustrated,0.032344281673431396
10,exasperated,0.05231337621808052
10,angry,-0.0024588110391050577
10,anxious,-0.03190302476286888
10,afraid,-0.052861105650663376
10,nervous,-0.08334752917289734
10,stressed,0.04536128789186478
10,calm,0.021548140794038773
10,self-confident,0.02687944285571575
10,content,0.025124281644821167
