layer,label,cosine
6,depressed,0.11533625423908234
6,sad,-0.020572390407323837
6,gloomy,-0.017461834475398064
6,melancholy,0.012587067671120167
6,miserable,-0.03950713202357292
6,dispirited,0.030692171305418015
6,listless,0.055978577584028244
6,weary,0.005903583951294422
6,worn out,0.016226816922426224
6,tired,-0.02907847799360752
6,resigned,0.04109365493059158
6,lonely,0.011386928148567677
6,heartbroken,0.009226967580616474
6,grief-stricken,0.05435750260949135
6,worthless,0.01703326404094696
6,self-critical,0.08918716013431549
6,ashamed,-0.008513974025845528
6,guilty,0.07771698385477066
6,humiliated,0.02494194731116295
6,embarrassed,-0.03566873446106911
6,regretful,0.11362174898386002
6,sorry,0.05839285999536514
6,desperate,0.005097599234431982
6,panicked,-0.05289768427610397
6,hysterical,-0.08705327659845352
6,overwhelmed,-0.04203643277287483
6,distressed,-0.06430205702781677
6,tormented,-0.05621882900595665
6,trapped,-0.08056727796792984
6,stuck,-0.011602752842009068
6,frustrated,-0.004853896331042051
6,exasperated,0.007000417914241552
6,angry,-0.02143022045493126
6,anxious,-0.029159855097532272
6,afraid,-0.08847276866436005
6,nervous,-0.06804756820201874
6,stressed,0.0063855331391096115
6,calm,-0.02504095435142517
6,self-confident,0.0726592093706131
6,content,0.005365101620554924
6,happy,-0.012116221711039543
6,hopeful,0.046680957078933716
6,clinical_depression,0.02985783852636814
6,acute_grief,0.02864963188767433
6,burnout_exhaustion,0.07527109980583191
6,physical_illness_fatigue,0.05719558149576187
6,anxiety_panic,-0.06567519158124924
6,frustration_blocked_goal,-0.05875106900930405
8,depressed,0.07667909562587738
8,sad,-0.02635837532579899
8,gloomy,-0.01158367283642292
8,melancholy,0.038825660943984985
8,miserable,-0.02662479504942894
8,dispirited,-0.007573070004582405
8,listless,0.07040157914161682
8,weary,0.015952661633491516
8,worn out,0.022491713985800743
8,tired,-0.04445197805762291
8,resigned,0.07723180949687958
8,lonely,0.04206760600209236
8,heartbroken,-0.017956238240003586
8,grief-stricken,0.04160969704389572
8,worthless,0.013492385856807232
8,self-critical,0.08088552206754684
8,ashamed,-0.05859662964940071
8,guilty,0.059785906225442886
8,humiliated,-0.013117823749780655
8,embarrassed,-0.05401572585105896
8,regretful,0.12378399074077606
8,sorry,0.05127730965614319
8,desperate,0.08395390957593918
8,panicked,-0.05653467774391174
8,hysterical,-0.09443702548742294
8,overwhelmed,-0.05633215978741646
8,distressed,-0.0778326466679573
8,tormented,-0.03490094467997551
8,trapped,-0.027989985421299934
8,stuck,0.04913740232586861
8,frustrated,0.024709101766347885
8,exasperated,0.03795987367630005
8,angry,-0.020273178815841675
8,anxious,-0.042350705713033676
8,afraid,-0.09097643196582794
8,nervous,-0.10148290544748306
8,stressed,-0.005472940392792225
8,calm,-0.011083371005952358
8,self-confident,0.05887332186102867
8,content,0.009084123186767101
8,happy,-0.04491278901696205
8,hopeful,0.04747028276324272
8,clinical_depression,-0.02595769241452217
8,acute_grief,0.01867992989718914
8,burnout_exhaustion,0.09654813259840012
8,physical_illness_fatigue,0.06876710057258606
8,anxiety_panic,-0.08398576080799103
8,frustration_blocked_goal,-0.028353655710816383
10,depressed,0.07300756871700287
10,sad,-0.03311208263039589
10,gloomy,-0.006648866925388575
10,melancholy,-0.004083569627255201
10,miserable,-0.00964751373976469
10,dispirited,-0.005664187949150801
10,listless,0.06553451716899872
10,weary,0.03534850850701332
10,worn out,0.07405351102352142
10,tired,-0.04153559356927872
10,resigned,0.06602293252944946
10,lonely,-0.0099997129291296
10,heartbroken,-0.024496203288435936
10,grief-stricken,0.048528023064136505
10,worthless,-0.0002567941846791655
10,self-critical,0.08049000799655914
10,ashamed,-0.05526292696595192
10,guilty,0.03534819185733795
10,humiliated,-0.032372184097766876
10,embarrassed,-0.0629066452383995
10,regretful,0.10301170498132706
10,sorry,0.012034492567181587
10,desperate,0.09110057353973389
10,panicked,-0.03213777020573616
10,hysterical,-0.038689255714416504
10,overwhelmed,-0.051306016743183136
10,distressed,-0.05017060413956642
10,tormented,-0.031564000993967056
10,trapped,-0.05676792189478874
10,stuck,0.016188865527510643
10,frustrated,0.05543851852416992
10,exasperated,0.08249219506978989
10,angry,-0.017865894362330437
10,anxious,-0.02927597239613533
10,afraid,-0.09580983221530914
10,nervous,-0.07915958762168884
10,stressed,0.024342326447367668
10,calm,-0.013063939288258553
10,self-confident,0.048121776431798935
10,content,-0.00917732808738947
10,happy,-0.039961736649274826
10,hopeful,0.01287633553147316
10,clinical_depression,0.004761960823088884
10,acute_grief,0.0440530963242054
10,burnout_exhaustion,0.03900934383273125
10,physical_illness_fatigue,0.034077249467372894
10,anxiety_panic,-0.07470377534627914
10,frustration_blocked_goal,-0.016882874071598053
12,depressed,-0.042627718299627304
12,sad,-0.1327761560678482
12,gloomy,-0.1500200778245926
12,melancholy,-0.17763791978359222
12,miserable,-0.15060459077358246
12,dispirited,-0.12777991592884064
12,listless,-0.16448348760604858
12,weary,-0.11782821267843246
12,worn out,-0.028176117688417435
12,tired,-0.17087030410766602
12,resigned,-0.09244581311941147
12,lonely,-0.16102281212806702
12,heartbroken,-0.027369191870093346
12,grief-stricken,0.12308014929294586
12,worthless,-0.05831131339073181
12,self-critical,0.061860185116529465
12,ashamed,0.13766172528266907
12,guilty,0.16916708648204803
12,humiliated,0.05727647989988327
12,embarrassed,0.02058100700378418
12,regretful,0.17567238211631775
12,sorry,0.0763624757528305
12,desperate,0.11427227407693863
12,panicked,0.0905231162905693
12,hysterical,0.04065848886966705
12,overwhelmed,-0.02045065350830555
12,distressed,0.0398605540394783
12,tormented,-0.029275953769683838
12,trapped,-0.2942980229854584
12,stuck,-0.2888076901435852
12,frustrated,0.05668637156486511
12,exasperated,0.04493124037981033
12,angry,0.08382066339254379
12,anxious,0.07871591299772263
12,afraid,-0.028691520914435387
12,nervous,0.07056691497564316
12,stressed,0.1350267231464386
12,calm,-0.0013024095678701997
12,self-confident,0.02907075732946396
12,content,0.003121853107586503
12,happy,0.08424869924783707
12,hopeful,0.05888974294066429
12,clinical_depression,0.046043604612350464
12,acute_grief,0.21779267489910126
12,burnout_exhaustion,-0.15217076241970062
12,physical_illness_fatigue,-0.018348248675465584
12,anxiety_panic,0.04798775538802147
12,frustration_blocked_goal,-0.056047551333904266
14,depressed,-0.05077873170375824
14,sad,-0.13453485071659088
14,gloomy,-0.1527678519487381
14,melancholy,-0.179368793964386
14,miserable,-0.14470547437667847
14,dispirited,-0.13354001939296722
14,listless,-0.15640386939048767
14,weary,-0.12249249964952469
14,worn out,-0.03833905979990959
14,tired,-0.16597814857959747
14,resigned,-0.0820205956697464
14,lonely,-0.14950089156627655
14,heartbroken,-0.032462213188409805
14,grief-stricken,0.10137756168842316
14,worthless,-0.049041423946619034
14,self-critical,0.06773342192173004
14,ashamed,0.13735152781009674
14,guilty,0.16545437276363373
14,humiliated,0.07851285487413406
14,embarrassed,0.04447651281952858
14,regretful,0.1679067462682724
14,sorry,0.08573176711797714
14,desperate,0.11588490754365921
14,panicked,0.08095711469650269
14,hysterical,0.0419282428920269
14,overwhelmed,-0.03120499663054943
14,distressed,0.03448377922177315
14,tormented,-0.019831640645861626
14,trapped,-0.27181023359298706
